,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
88,4,13,60900,6988,4482,248,57,27,3,1967,4951
89,4,13,61002,4104,3742,73,15,119,8,76,271
90,4,13,61003,10395,7997,566,93,337,22,1029,2203
91,4,13,61004,4309,3468,197,22,30,1,445,979
92,4,13,61005,6458,5135,465,120,37,5,579,1177
93,4,13,61006,8067,6475,183,83,157,16,901,2065
94,4,13,61007,4392,3530,166,22,79,2,432,896
95,4,13,61008,2021,1741,67,16,25,2,108,280
96,4,13,61009,96,80,0,0,4,0,11,22
97,4,13,61100,3851,2794,550,25,106,17,175,507
98,4,13,61200,6021,3397,294,123,41,15,1899,3520
99,4,13,61300,2011,1364,29,20,22,4,486,886
100,4,13,61400,5995,3089,284,120,26,7,2245,4529
101,4,13,71503,4879,4813,32,6,9,0,3,28
102,4,13,71504,3582,3546,13,1,10,0,3,17
103,4,13,71505,5192,5118,22,3,22,1,8,57
104,4,13,71506,4261,4193,14,5,12,0,15,56
105,4,13,71507,5482,4908,163,21,87,7,220,518
106,4,13,71508,7405,6614,205,45,182,4,209,631
107,4,13,71509,3455,3096,54,31,121,2,82,331
108,4,13,71510,4568,3950,121,13,197,16,147,441
109,4,13,71511,2200,1955,54,13,39,7,98,244
110,4,13,71512,6207,5423,146,26,191,6,260,725
111,4,13,71513,1236,1142,12,5,35,1,19,123
112,4,13,71600,2775,2443,41,15,17,7,218,380
113,4,13,71700,3769,3685,27,5,10,2,13,59
114,4,13,71801,5028,4913,34,14,23,1,20,80
115,4,13,71802,3570,3501,16,7,16,2,6,44
116,4,13,71903,6483,5317,163,40,74,7,658,1237
117,4,13,71904,7275,5404,253,89,88,13,1216,2082
118,4,13,71906,5204,3788,175,35,139,14,826,1581
119,4,13,71908,6964,5277,350,107,123,5,892,1781
120,4,13,71909,3824,3112,161,33,73,4,327,665
121,4,13,71910,6878,5048,298,94,92,4,1079,2060
122,4,13,71911,2526,2066,76,30,57,7,218,595
123,4,13,82002,5256,3998,331,40,97,10,611,1175
124,4,13,82007,4100,2581,248,64,44,2,1019,1823
125,4,13,82008,5049,2596,405,88,102,6,1645,2564
126,4,13,82009,4250,2317,342,47,49,4,1331,2096
127,4,13,82010,3880,2247,365,76,79,13,919,1743
128,4,13,82011,7957,4231,898,138,278,13,1962,3554
129,4,13,82012,3301,2165,173,23,73,6,706,1152
130,4,13,82013,9004,6632,664,51,346,13,936,1799
131,4,13,82014,3695,2697,213,28,113,0,518,1108
132,4,13,82015,9,0,0,0,0,0,9,9
133,4,13,82100,4963,2597,71,61,21,8,2020,3869
134,4,13,82201,4190,2577,29,66,14,3,1319,2479
135,4,13,82202,3217,1261,22,45,3,1,1805,2763
136,4,13,92304,7399,5388,397,198,193,10,913,1646
137,4,13,92305,4185,3531,130,51,87,5,267,657
138,4,13,92306,6367,5457,178,79,202,2,273,972
139,4,13,92307,5517,4503,226,102,166,6,313,927
140,4,13,92308,6957,5664,229,80,251,6,513,1192
141,4,13,92309,5391,4603,169,33,212,5,270,699
142,4,13,92310,3084,2080,256,93,47,3,437,796
143,4,13,92400,7401,5639,447,125,157,13,750,1823
144,4,13,92500,4258,3153,94,94,123,3,685,2210
