GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130082019,Arizona,Maricopa County,82019,448.00,847.00,860.00,23.00,5.13,12.00,1.42,24.00,2.79,0.00,860.00,0.00
G0400130082020,Arizona,Maricopa County,82020,350.00,1347.00,1388.00,40.00,11.43,12.00,0.89,32.00,2.31,23.00,1388.00,1.66
G0400130082021,Arizona,Maricopa County,82021,148.00,678.00,694.00,1.00,0.68,8.00,1.18,31.00,4.47,19.00,694.00,2.74
G0400130082022,Arizona,Maricopa County,82022,181.00,571.00,1753.00,4.00,2.21,31.00,5.43,41.00,2.34,0.00,1753.00,0.00
G0400130082023,Arizona,Maricopa County,82023,1.00,706.00,1829.00,0.00,0.00,46.00,6.52,71.00,3.88,0.00,1829.00,0.00
G0400130082024,Arizona,Maricopa County,82024,22.00,83.00,1597.00,2.00,9.09,2.00,2.41,28.00,1.75,29.00,1597.00,1.82
G0400130082025,Arizona,Maricopa County,82025,14.00,13.00,856.00,0.00,0.00,0.00,0.00,26.00,3.04,0.00,856.00,0.00
G0400130082026,Arizona,Maricopa County,82026,2.00,3.00,2118.00,0.00,0.00,0.00,0.00,60.00,2.83,13.00,2118.00,0.61
G0400130082027,Arizona,Maricopa County,82027,18.00,17.00,1422.00,0.00,0.00,0.00,0.00,68.00,4.78,33.00,1422.00,2.32
G0400130082028,Arizona,Maricopa County,82028,129.00,1212.00,1358.00,16.00,12.40,16.00,1.32,50.00,3.68,19.00,1358.00,1.40
G0400130082203,Arizona,Maricopa County,82203,15.00,18.00,2304.00,0.00,0.00,0.00,0.00,142.00,6.16,92.00,2304.00,3.99
G0400130082204,Arizona,Maricopa County,82204,55.01,52.00,1594.00,1.06,1.93,0.00,0.00,84.00,5.27,31.00,1594.00,1.94
G0400130082205,Arizona,Maricopa County,82205,5.00,5.00,1607.00,0.00,0.00,0.00,0.00,89.00,5.54,40.00,1607.00,2.49
G0400130082206,Arizona,Maricopa County,82206,27.00,27.00,890.00,1.00,3.70,0.00,0.00,66.00,7.42,24.00,890.00,2.70
G0400130082207,Arizona,Maricopa County,82207,337.99,427.00,809.00,10.94,3.24,10.00,2.34,56.00,6.92,8.00,809.00,0.99
G0400130082208,Arizona,Maricopa County,82208,575.53,605.00,823.00,8.55,1.49,1.00,0.17,43.00,5.22,0.00,823.00,0.00
G0400130082209,Arizona,Maricopa County,82209,716.00,730.00,915.00,0.00,0.00,5.00,0.68,22.00,2.40,19.00,915.00,2.08
G0400130082210,Arizona,Maricopa County,82210,51.00,81.00,1480.00,0.00,0.00,0.00,0.00,81.00,5.47,0.00,1480.00,0.00
G0400130082211,Arizona,Maricopa County,82211,29.47,16.00,1477.00,1.45,4.92,0.00,0.00,78.00,5.28,58.00,1477.00,3.93
G0400130083000,Arizona,Maricopa County,83000,1360.00,1484.00,2169.00,14.00,1.03,9.00,0.61,37.00,1.71,0.00,2169.00,0.00
G0400130092305,Arizona,Maricopa County,92305,1500.00,1485.00,1491.00,40.00,2.67,12.00,0.81,55.00,3.69,33.00,1491.00,2.21
G0400130092306,Arizona,Maricopa County,92306,2010.00,2275.00,2293.00,50.00,2.49,15.00,0.66,72.00,3.14,0.00,2293.00,0.00
G0400130092307,Arizona,Maricopa County,92307,2064.00,2216.00,2435.00,27.00,1.31,9.00,0.41,52.00,2.14,41.00,2435.00,1.68
G0400130092308,Arizona,Maricopa County,92308,2598.00,2581.00,2587.00,50.00,1.92,11.00,0.43,55.00,2.13,51.00,2587.00,1.97
G0400130092309,Arizona,Maricopa County,92309,1932.00,2057.00,2052.00,61.00,3.16,14.00,0.68,44.00,2.14,31.00,2052.00,1.51
G0400130092311,Arizona,Maricopa County,92311,1337.00,1346.00,1453.00,28.00,2.09,6.00,0.45,17.00,1.17,18.00,1453.00,1.24
G0400130092312,Arizona,Maricopa County,92312,2292.00,2469.00,2772.00,31.00,1.35,42.00,1.70,41.00,1.48,15.00,2772.00,0.54
G0400130092401,Arizona,Maricopa County,92401,1860.00,1870.00,1896.00,28.00,1.51,3.00,0.16,42.00,2.22,66.00,1896.00,3.48
G0400130092402,Arizona,Maricopa County,92402,1447.00,1478.00,1554.00,24.00,1.66,11.00,0.74,32.00,2.06,50.00,1554.00,3.22
G0400130092500,Arizona,Maricopa County,92500,1587.00,1657.00,2054.00,30.00,1.89,28.00,1.69,35.00,1.70,0.00,2054.00,0.00
G0400130092600,Arizona,Maricopa County,92600,1269.00,1366.00,1246.00,37.00,2.92,11.00,0.81,26.00,2.09,0.00,1246.00,0.00
G0400130092705,Arizona,Maricopa County,92705,740.00,897.00,1435.00,11.00,1.49,15.00,1.67,39.00,2.72,0.00,1435.00,0.00
G0400130092708,Arizona,Maricopa County,92708,143.00,143.00,796.00,0.00,0.00,0.00,0.00,8.00,1.01,0.00,796.00,0.00
G0400130092709,Arizona,Maricopa County,92709,977.00,1279.00,1444.00,62.00,6.35,74.00,5.79,51.00,3.53,27.00,1444.00,1.87
G0400130092710,Arizona,Maricopa County,92710,394.00,1360.00,1498.00,24.00,6.09,14.00,1.03,43.00,2.87,0.00,1498.00,0.00
G0400130092711,Arizona,Maricopa County,92711,647.00,745.00,1103.00,4.00,0.62,5.00,0.67,23.00,2.09,0.00,1103.00,0.00
G0400130092712,Arizona,Maricopa County,92712,497.00,1061.00,1510.00,15.00,3.02,15.00,1.41,32.00,2.12,33.00,1510.00,2.19
G0400130092713,Arizona,Maricopa County,92713,446.00,1330.00,1466.00,27.00,6.05,20.00,1.50,37.00,2.52,42.00,1466.00,2.86
G0400130092715,Arizona,Maricopa County,92715,989.08,1007.00,1299.00,22.49,2.27,6.00,0.60,28.00,2.16,0.00,1299.00,0.00
G0400130092716,Arizona,Maricopa County,92716,1068.92,1179.00,1168.00,21.51,2.01,4.00,0.34,35.00,3.00,32.00,1168.00,2.74
G0400130092717,Arizona,Maricopa County,92717,764.00,824.00,1608.00,20.00,2.62,20.00,2.43,25.00,1.55,0.00,1608.00,0.00
G0400130092718,Arizona,Maricopa County,92718,890.00,901.00,1257.00,12.00,1.35,7.00,0.78,22.00,1.75,0.00,1257.00,0.00
G0400130092719,Arizona,Maricopa County,92719,142.00,1021.00,1740.00,11.00,7.75,8.00,0.78,26.00,1.49,41.00,1740.00,2.36
G0400130092720,Arizona,Maricopa County,92720,538.00,996.00,2049.00,17.00,3.16,10.00,1.00,53.00,2.59,15.00,2049.00,0.73
G0400130092721,Arizona,Maricopa County,92721,37.00,40.00,888.00,1.00,2.70,0.00,0.00,56.00,6.31,0.00,888.00,0.00
G0400130092723,Arizona,Maricopa County,92723,239.00,1146.00,1774.00,53.00,22.18,26.00,2.27,41.00,2.31,0.00,1774.00,0.00
G0400130092724,Arizona,Maricopa County,92724,1543.00,1434.00,1605.00,43.00,2.79,18.00,1.26,37.00,2.31,9.00,1605.00,0.56
G0400130092801,Arizona,Maricopa County,92801,1760.10,1717.11,1718.00,16.00,0.91,5.00,0.29,11.00,0.64,64.00,1718.00,3.73
G0400130092802,Arizona,Maricopa County,92802,1778.00,1768.00,1739.00,26.00,1.46,9.00,0.51,22.00,1.27,105.00,1739.00,6.04
G0400130092900,Arizona,Maricopa County,92900,1198.90,1228.89,1145.00,10.00,0.83,7.00,0.57,18.00,1.57,0.00,1145.00,0.00
G0400130093001,Arizona,Maricopa County,93001,2236.00,2189.00,2144.00,91.00,4.07,19.00,0.87,56.00,2.61,21.00,2144.00,0.98
G0400130093002,Arizona,Maricopa County,93002,1463.00,1401.00,1397.00,19.00,1.30,17.00,1.21,60.00,4.29,22.00,1397.00,1.57
G0400130093101,Arizona,Maricopa County,93101,1814.00,1767.00,1780.00,30.00,1.65,35.00,1.98,29.00,1.63,0.00,1780.00,0.00
