GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130040525,Arizona,Maricopa County,40525,0,0.41,2116,0,0,0.12,29.27,28,1.32,0,2116,0
G0400130040526,Arizona,Maricopa County,40526,65.18,629,1632,1.13,1.73,29,4.61,28,1.72,51,1632,3.13
G0400130040527,Arizona,Maricopa County,40527,1463.82,1810.59,2742,13.87,0.95,61.88,3.42,83,3.03,25,2742,0.91
G0400130040528,Arizona,Maricopa County,40528,2.16,3143.98,4437,0.21,9.72,74,2.35,69,1.56,31,4437,0.7
G0400130040529,Arizona,Maricopa County,40529,9.78,890.02,2345,0.01,0.1,12,1.35,74,3.16,42,2345,1.79
G0400130040530,Arizona,Maricopa County,40530,78.06,1464,1518,8.78,11.25,14,0.96,38,2.5,0,1518,0
G0400130040531,Arizona,Maricopa County,40531,379,2040,2737,42,11.08,81,3.97,128,4.68,0,2737,0
G0400130050603,Arizona,Maricopa County,50603,632.42,890,2061,6,0.95,12,1.35,148,7.18,0,2061,0
G0400130050604,Arizona,Maricopa County,50604,616.58,774,1436,8,1.3,9,1.16,68,4.74,37,1436,2.58
G0400130050605,Arizona,Maricopa County,50605,97.01,248,2382,1,1.03,6,2.42,207,8.69,58,2382,2.43
G0400130050606,Arizona,Maricopa County,50606,316.02,655.05,2495,9,2.85,16,2.44,143,5.73,5,2495,0.2
G0400130050607,Arizona,Maricopa County,50607,266.82,290,2405,2,0.75,4,1.38,109,4.53,104,2405,4.32
G0400130050608,Arizona,Maricopa County,50608,667.28,524,2722,9.13,1.37,19,3.63,134,4.92,23,2722,0.84
G0400130050609,Arizona,Maricopa County,50609,8.74,3,2114,1.68,19.22,0,0,99,4.68,26,2114,1.23
G0400130050610,Arizona,Maricopa County,50610,763.26,614,2623,10.96,1.44,9,1.47,131,4.99,22,2623,0.84
G0400130050611,Arizona,Maricopa County,50611,286.9,296,1511,8.23,2.87,2,0.68,96,6.35,30,1511,1.99
G0400130050701,Arizona,Maricopa County,50701,578,572,1907,6,1.04,6,1.05,132,6.92,52,1907,2.73
G0400130050702,Arizona,Maricopa County,50702,1301,1432,2059,7,0.54,20,1.4,74,3.59,77,2059,3.74
G0400130060801,Arizona,Maricopa County,60801,2960,2596,2833,27,0.91,20,0.77,31,1.09,13,2833,0.46
G0400130060802,Arizona,Maricopa County,60802,2,0,737,0,0,0,0,41,5.56,0,737,0
G0400130060901,Arizona,Maricopa County,60901,134,235,1543,20,14.93,15,6.38,63,4.08,70,1543,4.54
G0400130060902,Arizona,Maricopa County,60902,851,744,1112,6,0.71,0,0,22,1.98,0,1112,0
G0400130060903,Arizona,Maricopa County,60903,88.37,617.96,1546,1.33,1.51,1.9,0.31,53,3.43,0,1546,0
G0400130060904,Arizona,Maricopa County,60904,204.63,428.04,1145,2.67,1.3,16.1,3.76,39,3.41,63,1145,5.5
G0400130061009,Arizona,Maricopa County,61009,34.12,32,3528,0,0,1,3.13,111,3.15,13,3528,0.37
G0400130061010,Arizona,Maricopa County,61010,1432,1629,2260,29,2.03,21,1.29,77,3.41,0,2260,0
G0400130061011,Arizona,Maricopa County,61011,298.7,389.48,1845,6,2.01,15,3.85,61,3.31,22,1845,1.19
G0400130061012,Arizona,Maricopa County,61012,317,1698,3201,4,1.26,14,0.82,52,1.62,26,3201,0.81
G0400130061013,Arizona,Maricopa County,61013,6,7,1917,0,0,0,0,62,3.23,0,1917,0
G0400130061014,Arizona,Maricopa County,61014,3,4,2223,0,0,0,0,62,2.79,0,2223,0
G0400130061015,Arizona,Maricopa County,61015,1,1942,2003,0,0,70,3.6,45,2.25,87,2003,4.34
G0400130061016,Arizona,Maricopa County,61016,28.98,28.95,1505,0,0,0,0,97,6.45,135,1505,8.97
G0400130061017,Arizona,Maricopa County,61017,0,0,0,0,0,0,0,0,0,31,0,0
G0400130061018,Arizona,Maricopa County,61018,2.88,1550.98,3169,0,0,34.08,2.2,46,1.45,58,3169,1.83
G0400130061019,Arizona,Maricopa County,61019,408,672,1133,7,1.72,3,0.45,37,3.27,38,1133,3.35
G0400130061020,Arizona,Maricopa County,61020,3,113.02,1312,0,0,1.92,1.7,27,2.06,150,1312,11.43
G0400130061021,Arizona,Maricopa County,61021,0,0,579,0,0,0,0,34,5.87,0,579,0
G0400130061022,Arizona,Maricopa County,61022,22,812,3390,0,0,41,5.05,129,3.81,0,3390,0
G0400130061023,Arizona,Maricopa County,61023,216,497,3309,0,0,3,0.6,138,4.17,26,3309,0.79
G0400130061024,Arizona,Maricopa County,61024,64,70,698,1,1.56,0,0,29,4.15,65,698,9.31
G0400130061025,Arizona,Maricopa County,61025,0,0,2629,0,0,0,0,120,4.56,55,2629,2.09
G0400130061026,Arizona,Maricopa County,61026,6,6,1917,0,0,3,50,59,3.08,36,1917,1.88
G0400130061027,Arizona,Maricopa County,61027,0,759,2199,0,0,26,3.43,53,2.41,0,2199,0
G0400130061028,Arizona,Maricopa County,61028,26,22,1101,0,0,1,4.55,18,1.63,63,1101,5.72
G0400130061029,Arizona,Maricopa County,61029,1.54,1067,2148,0,0,14,1.31,46,2.14,13,2148,0.61
G0400130061030,Arizona,Maricopa County,61030,3.03,7.04,2522,0,0,0,0,169,6.7,43,2522,1.7
G0400130061031,Arizona,Maricopa County,61031,139.97,179.96,1243,0,0,0,0,58,4.67,38,1243,3.06
G0400130061032,Arizona,Maricopa County,61032,9,7,1928,0,0,0,0,51,2.65,10,1928,0.52
G0400130061033,Arizona,Maricopa County,61033,1,313,2195,0,0,0,0,73,3.33,0,2195,0
G0400130061034,Arizona,Maricopa County,61034,0,0,2358,0,0,0,0,90,3.82,0,2358,0
G0400130061035,Arizona,Maricopa County,61035,1.46,16,2366,0,0,0,0,89,3.76,62,2366,2.62
G0400130061036,Arizona,Maricopa County,61036,6,9,852,0,0,0,0,63,7.39,15,852,1.76
G0400130061037,Arizona,Maricopa County,61037,0,0,1444,0,0,0,0,127,8.8,36,1444,2.49
G0400130061038,Arizona,Maricopa County,61038,2,3,1550,0,0,0,0,63,4.06,0,1550,0
G0400130061039,Arizona,Maricopa County,61039,11,14,1242,0,0,1,7.14,50,4.03,35,1242,2.82
G0400130061040,Arizona,Maricopa County,61040,0.86,0.54,1461,0,0,0,0,55,3.76,0,1461,0
G0400130061041,Arizona,Maricopa County,61041,1.13,0.68,1420,0,0,0,0,45,3.17,0,1420,0
G0400130061042,Arizona,Maricopa County,61042,769.78,1041.3,1561,3.98,0.52,19,1.82,36,2.31,0,1561,0
G0400130061043,Arizona,Maricopa County,61043,65.23,95.47,799,0.02,0.03,1,1.05,27,3.38,0,799,0
G0400130061044,Arizona,Maricopa County,61044,129.99,177,1978,0,0,2,1.13,126,6.37,15,1978,0.76
G0400130061045,Arizona,Maricopa County,61045,471.15,984,1783,6,1.27,9,0.91,39,2.19,76,1783,4.26
G0400130061046,Arizona,Maricopa County,61046,694.62,949.07,2043,8.8,1.27,12,1.26,44,2.15,20,2043,0.98
G0400130061047,Arizona,Maricopa County,61047,2.05,1.44,1022,0,0,0,0,31,3.03,73,1022,7.14
G0400130061100,Arizona,Maricopa County,61100,1255.48,996.01,2576,0.2,0.02,0,0,0,0,69,2576,2.68
