GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130010101,Arizona,Maricopa County,10101,1591,189,156,10,11.88,1612,67,214,13.28
G0400130010102,Arizona,Maricopa County,10102,2015,323,142,7.05,16.03,2026,380,157,7.75
G0400130030401,Arizona,Maricopa County,30401,1909,545,34,1.78,28.55,1895,533,109,5.75
G0400130030402,Arizona,Maricopa County,30402,2651,293,407,15.35,11.05,2746,289,489,17.81
G0400130040502,Arizona,Maricopa County,40502,634,29,83,13.09,4.57,695,68,140,20.14
G0400130040506,Arizona,Maricopa County,40506,478,0,197,41.21,0,603,38,234,38.81
G0400130040507,Arizona,Maricopa County,40507,1570,87,504,32.1,5.54,1585,27,668,42.15
G0400130040512,Arizona,Maricopa County,40512,1923,492,258,13.42,25.59,1875,452,83,4.43
G0400130040513,Arizona,Maricopa County,40513,1737,384,234,13.47,22.11,1722,369,155,9
G0400130040514,Arizona,Maricopa County,40514,1229,37,502,40.85,3.01,1132,14,720,63.6
G0400130040515,Arizona,Maricopa County,40515,694,124,159,22.91,17.87,845,239,187,22.13
G0400130040516,Arizona,Maricopa County,40516,2314,336,118,5.1,14.52,2130,269,217,10.19
G0400130040517,Arizona,Maricopa County,40517,2350,946,250,10.64,40.26,2264,697,97,4.28
G0400130040518,Arizona,Maricopa County,40518,2009,264,180,8.96,13.14,2067,183,235,11.37
G0400130040519,Arizona,Maricopa County,40519,1096,130,106,9.67,11.86,1247,123,85,6.82
G0400130040520,Arizona,Maricopa County,40520,1649,99,130,7.88,6,1611,124,279,17.32
G0400130040521,Arizona,Maricopa County,40521,1666,151,319,19.15,9.06,1626,91,383,23.55
G0400130040522,Arizona,Maricopa County,40522,701,128,43,6.13,18.26,835,137,93,11.14
G0400130040523,Arizona,Maricopa County,40523,1695,232,379,22.36,13.69,1626,226,231,14.21
G0400130040524,Arizona,Maricopa County,40524,756,189,40,5.29,25,793,172,57,7.19
G0400130040525,Arizona,Maricopa County,40525,1422,412,131,9.21,28.97,1392,342,160,11.49
G0400130040526,Arizona,Maricopa County,40526,1074,608,20,1.86,56.61,1004,564,75,7.47
G0400130040527,Arizona,Maricopa County,40527,1601,400,205,12.8,24.98,1644,511,219,13.32
G0400130040528,Arizona,Maricopa County,40528,1544,325,216,13.99,21.05,1440,280,115,7.99
G0400130040529,Arizona,Maricopa County,40529,1214,328,154,12.69,27.02,1245,295,133,10.68
G0400130040530,Arizona,Maricopa County,40530,2607,208,461,17.68,7.98,2682,170,681,25.39
G0400130040531,Arizona,Maricopa County,40531,2079,709,217,10.44,34.1,2089,640,66,3.16
G0400130050603,Arizona,Maricopa County,50603,1184,109,342,28.89,9.21,1205,82,393,32.61
G0400130050604,Arizona,Maricopa County,50604,1538,253,157,10.21,16.45,1592,316,135,8.48
G0400130050605,Arizona,Maricopa County,50605,1191,137,231,19.4,11.5,1214,270,207,17.05
G0400130050606,Arizona,Maricopa County,50606,1269,180,120,9.46,14.18,1235,180,238,19.27
G0400130050607,Arizona,Maricopa County,50607,2104,638,83,3.94,30.32,2466,831,232,9.41
G0400130050608,Arizona,Maricopa County,50608,1944,60,422,21.71,3.09,1942,164,290,14.93
G0400130050609,Arizona,Maricopa County,50609,1341,254,135,10.07,18.94,2064,384,188,9.11
G0400130050610,Arizona,Maricopa County,50610,1435,196,237,16.52,13.66,1280,143,222,17.34
G0400130050611,Arizona,Maricopa County,50611,992,191,169,17.04,19.25,1039,91,248,23.87
G0400130050701,Arizona,Maricopa County,50701,2827,346,360,12.73,12.24,2596,368,252,9.71
G0400130050702,Arizona,Maricopa County,50702,1485,619,142,9.56,41.68,1263,483,122,9.66
G0400130060801,Arizona,Maricopa County,60801,508,91,50,9.84,17.91,634,84,107,16.88
G0400130060802,Arizona,Maricopa County,60802,1947,67,402,20.65,3.44,1893,126,439,23.19
G0400130060901,Arizona,Maricopa County,60901,2265,407,493,21.77,17.97,2294,407,344,15
G0400130060902,Arizona,Maricopa County,60902,2238,429,270,12.06,19.17,2178,343,370,16.99
G0400130060903,Arizona,Maricopa County,60903,1582,281,255,16.12,17.76,1457,249,176,12.08
G0400130060904,Arizona,Maricopa County,60904,1019,215,156,15.31,21.1,1459,64,266,18.23
G0400130061009,Arizona,Maricopa County,61009,606,125,49,8.09,20.63,683,117,70,10.25
G0400130061010,Arizona,Maricopa County,61010,1770,362,189,10.68,20.45,1823,318,399,21.89
G0400130061011,Arizona,Maricopa County,61011,1503,271,169,11.24,18.03,1467,295,151,10.29
G0400130061012,Arizona,Maricopa County,61012,1202,284,203,16.89,23.63,1422,354,99,6.96
G0400130061013,Arizona,Maricopa County,61013,2195,280,244,11.12,12.76,2245,378,286,12.74
G0400130061014,Arizona,Maricopa County,61014,1915,946,99,5.17,49.4,2417,1382,144,5.96
G0400130061015,Arizona,Maricopa County,61015,3023,1007,309,10.22,33.31,3102,1271,120,3.87
G0400130061016,Arizona,Maricopa County,61016,1432,63,312,21.79,4.4,1887,136,434,23
G0400130061017,Arizona,Maricopa County,61017,1131,307,128,11.32,27.14,1035,167,50,4.83
G0400130061018,Arizona,Maricopa County,61018,1648,444,86,5.22,26.94,2063,541,237,11.49
G0400130061019,Arizona,Maricopa County,61019,1032,414,85,8.24,40.12,1003,380,92,9.17
G0400130061020,Arizona,Maricopa County,61020,1594,913,212,13.3,57.28,1441,728,83,5.76
G0400130061021,Arizona,Maricopa County,61021,1285,700,33,2.57,54.47,1347,632,42,3.12
G0400130061022,Arizona,Maricopa County,61022,1067,480,22,2.06,44.99,1315,625,94,7.15
G0400130061023,Arizona,Maricopa County,61023,1751,732,152,8.68,41.8,1779,843,76,4.27
G0400130061024,Arizona,Maricopa County,61024,2060,692,194,9.42,33.59,2102,663,249,11.85
G0400130061025,Arizona,Maricopa County,61025,1584,694,76,4.8,43.81,1491,681,99,6.64
G0400130061026,Arizona,Maricopa County,61026,2660,526,168,6.32,19.77,2480,630,283,11.41
G0400130061027,Arizona,Maricopa County,61027,827,228,105,12.7,27.57,766,199,33,4.31
G0400130061028,Arizona,Maricopa County,61028,1731,985,87,5.03,56.9,1585,841,47,2.97
G0400130061029,Arizona,Maricopa County,61029,866,92,45,5.2,10.62,808,109,43,5.32
G0400130061030,Arizona,Maricopa County,61030,2972,430,492,16.55,14.47,2675,383,195,7.29
G0400130061031,Arizona,Maricopa County,61031,1739,178,226,13,10.24,1827,201,245,13.41
G0400130061032,Arizona,Maricopa County,61032,1189,252,86,7.23,21.19,1151,337,72,6.26
G0400130061033,Arizona,Maricopa County,61033,3102,774,216,6.96,24.95,3055,693,206,6.74
G0400130061034,Arizona,Maricopa County,61034,1267,178,216,17.05,14.05,1240,275,113,9.11
G0400130061035,Arizona,Maricopa County,61035,2375,268,618,26.02,11.28,2453,271,700,28.54
G0400130061036,Arizona,Maricopa County,61036,1428,419,132,9.24,29.34,2275,549,372,16.35
G0400130061037,Arizona,Maricopa County,61037,1362,264,87,6.39,19.38,1493,291,130,8.71
G0400130061038,Arizona,Maricopa County,61038,983,258,83,8.44,26.25,1045,344,59,5.65
G0400130061039,Arizona,Maricopa County,61039,258,39,149,57.75,15.12,508,127,156,30.71
G0400130061040,Arizona,Maricopa County,61040,884,42,489,55.32,4.75,997,63,420,42.13
G0400130061041,Arizona,Maricopa County,61041,383,0,304,79.37,0,272,2,178,65.44
G0400130061042,Arizona,Maricopa County,61042,0,0,0,0,0,0,0,0,0
G0400130061043,Arizona,Maricopa County,61043,584,0,148,25.34,0,314,26,80,25.48
G0400130061044,Arizona,Maricopa County,61044,800,16,263,32.88,2,880,32,242,27.5
G0400130061045,Arizona,Maricopa County,61045,2345,158,638,27.21,6.74,2938,54,808,27.5
G0400130061046,Arizona,Maricopa County,61046,908,8,399,43.94,0.88,1073,15,442,41.19
G0400130061047,Arizona,Maricopa County,61047,2233,58,536,24,2.6,2376,51,800,33.67
G0400130061100,Arizona,Maricopa County,61100,1750,274,154,8.8,15.66,1661,303,259,15.59
G0400130061200,Arizona,Maricopa County,61200,893,223,80,8.96,24.97,1285,181,106,8.25
G0400130061300,Arizona,Maricopa County,61300,1099,32,173,15.74,2.91,1184,31,228,19.26
G0400130061401,Arizona,Maricopa County,61401,1798,440,38,2.11,24.47,1826,499,110,6.02
G0400130061402,Arizona,Maricopa County,61402,939,74,288,30.67,7.88,1094,54,370,33.82
G0400130071503,Arizona,Maricopa County,71503,1614,222,73,4.52,13.75,2232,380,188,8.42
G0400130071504,Arizona,Maricopa County,71504,943,424,23,2.44,44.96,863,344,37,4.29
G0400130071505,Arizona,Maricopa County,71505,2081,598,425,20.42,28.74,2042,507,315,15.43
G0400130071506,Arizona,Maricopa County,71506,2206,888,329,14.91,40.25,2055,773,250,12.17
G0400130071509,Arizona,Maricopa County,71509,1789,647,105,5.87,36.17,1868,445,150,8.03
G0400130071510,Arizona,Maricopa County,71510,973,99,228,23.43,10.17,942,154,170,18.05
G0400130071511,Arizona,Maricopa County,71511,982,158,156,15.89,16.09,1035,111,137,13.24
G0400130071512,Arizona,Maricopa County,71512,850,466,9,1.06,54.82,792,430,10,1.26
G0400130071513,Arizona,Maricopa County,71513,2169,634,178,8.21,29.23,2257,461,86,3.81
G0400130071514,Arizona,Maricopa County,71514,1938,443,107,5.52,22.86,1771,337,120,6.78
G0400130071515,Arizona,Maricopa County,71515,1869,129,327,17.5,6.9,2110,104,421,19.95
G0400130071516,Arizona,Maricopa County,71516,574,60,100,17.42,10.45,783,47,66,8.43
G0400130071517,Arizona,Maricopa County,71517,1736,332,253,14.57,19.12,1729,319,149,8.62
G0400130071600,Arizona,Maricopa County,71600,3021,142,691,22.87,4.7,3122,138,617,19.76
G0400130071701,Arizona,Maricopa County,71701,1370,153,51,3.72,11.17,1587,247,182,11.47
G0400130071702,Arizona,Maricopa County,71702,953,113,104,10.91,11.86,1265,210,240,18.97
G0400130071801,Arizona,Maricopa County,71801,1787,418,76,4.25,23.39,1616,589,78,4.83
G0400130071802,Arizona,Maricopa County,71802,1663,518,98,5.89,31.15,1566,589,125,7.98
G0400130071903,Arizona,Maricopa County,71903,14,14,0,0,100,22,0,0,0
G0400130071906,Arizona,Maricopa County,71906,1837,381,122,6.64,20.74,2120,621,88,4.15
G0400130071909,Arizona,Maricopa County,71909,1509,480,87,5.77,31.81,1435,528,31,2.16
G0400130071910,Arizona,Maricopa County,71910,969,323,86,8.88,33.33,947,377,21,2.22
