GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130216844,Arizona,Maricopa County,216844,1111,245,151,13.59,22.05,1097,472,88,8.02
G0400130216845,Arizona,Maricopa County,216845,2778,46,759,27.32,1.66,3090,208,964,31.2
G0400130216846,Arizona,Maricopa County,216846,357,0,137,38.38,0,382,96,138,36.13
G0400130216847,Arizona,Maricopa County,216847,1462,123,271,18.54,8.41,1494,143,393,26.31
G0400130216848,Arizona,Maricopa County,216848,2542,761,180,7.08,29.94,2793,932,207,7.41
G0400130216849,Arizona,Maricopa County,216849,3202,628,498,15.55,19.61,3441,559,449,13.05
G0400130216850,Arizona,Maricopa County,216850,2047,1174,55,2.69,57.35,1918,884,96,5.01
G0400130216851,Arizona,Maricopa County,216851,1934,756,252,13.03,39.09,2020,781,149,7.38
G0400130216852,Arizona,Maricopa County,216852,1313,107,293,22.32,8.15,1293,44,476,36.81
G0400130216853,Arizona,Maricopa County,216853,1370,93,247,18.03,6.79,1592,113,453,28.45
G0400130216901,Arizona,Maricopa County,216901,1395,185,118,8.46,13.26,1418,148,137,9.66
G0400130216902,Arizona,Maricopa County,216902,1666,531,254,15.25,31.87,1660,362,312,18.8
G0400130217001,Arizona,Maricopa County,217001,2366,454,94,3.97,19.19,2450,412,221,9.02
G0400130217002,Arizona,Maricopa County,217002,1359,328,76,5.59,24.14,1376,336,31,2.25
G0400130217101,Arizona,Maricopa County,217101,1916,95,412,21.5,4.96,1695,47,331,19.53
G0400130217102,Arizona,Maricopa County,217102,1714,435,76,4.43,25.38,1706,451,97,5.69
G0400130217201,Arizona,Maricopa County,217201,1695,124,359,21.18,7.32,1746,184,313,17.93
G0400130217203,Arizona,Maricopa County,217203,736,32,105,14.27,4.35,859,73,144,16.76
G0400130217204,Arizona,Maricopa County,217204,1044,49,102,9.77,4.69,1303,135,242,18.57
G0400130217300,Arizona,Maricopa County,217300,1487,261,95,6.39,17.55,2312,483,199,8.61
G0400130217400,Arizona,Maricopa County,217400,898,326,20,2.23,36.3,888,379,32,3.6
G0400130217501,Arizona,Maricopa County,217501,1219,142,67,5.5,11.65,1421,109,164,11.54
G0400130217502,Arizona,Maricopa County,217502,1168,167,86,7.36,14.3,1397,107,83,5.94
G0400130217600,Arizona,Maricopa County,217600,997,317,11,1.1,31.8,940,409,46,4.89
G0400130217700,Arizona,Maricopa County,217700,2153,563,138,6.41,26.15,2055,611,135,6.57
G0400130217800,Arizona,Maricopa County,217800,2450,1311,55,2.24,53.51,2373,1251,85,3.58
G0400130217900,Arizona,Maricopa County,217900,1663,244,160,9.62,14.67,1775,289,198,11.15
G0400130218000,Arizona,Maricopa County,218000,2041,787,9,0.44,38.56,2142,653,49,2.29
G0400130218100,Arizona,Maricopa County,218100,2162,785,100,4.63,36.31,2580,841,114,4.42
G0400130218200,Arizona,Maricopa County,218200,1574,500,43,2.73,31.77,1840,575,89,4.84
G0400130218300,Arizona,Maricopa County,218300,1487,449,115,7.73,30.2,1814,542,170,9.37
G0400130318400,Arizona,Maricopa County,318400,1155,284,39,3.38,24.59,1259,95,81,6.43
G0400130318501,Arizona,Maricopa County,318501,1346,421,78,5.79,31.28,1563,319,246,15.74
G0400130318700,Arizona,Maricopa County,318700,2348,861,94,4,36.67,2527,839,189,7.48
G0400130318800,Arizona,Maricopa County,318800,1491,558,39,2.62,37.42,1570,539,21,1.34
G0400130318900,Arizona,Maricopa County,318900,1817,147,108,5.94,8.09,1651,195,161,9.75
G0400130319000,Arizona,Maricopa County,319000,1673,169,467,27.91,10.1,1950,108,440,22.56
G0400130319101,Arizona,Maricopa County,319101,1223,518,93,7.6,42.35,1208,503,67,5.55
G0400130319103,Arizona,Maricopa County,319103,920,343,7,0.76,37.28,1160,485,15,1.29
G0400130319104,Arizona,Maricopa County,319104,1146,182,59,5.15,15.88,1472,254,52,3.53
G0400130319201,Arizona,Maricopa County,319201,1034,191,116,11.22,18.47,1454,279,34,2.34
G0400130319202,Arizona,Maricopa County,319202,1738,225,186,10.7,12.95,1679,226,139,8.28
G0400130319300,Arizona,Maricopa County,319300,2190,340,181,8.26,15.53,2234,259,273,12.22
G0400130319401,Arizona,Maricopa County,319401,1464,146,151,10.31,9.97,1589,81,158,9.94
G0400130319402,Arizona,Maricopa County,319402,1636,54,542,33.13,3.3,1780,52,385,21.63
G0400130319403,Arizona,Maricopa County,319403,1647,572,29,1.76,34.73,1736,677,53,3.05
G0400130319404,Arizona,Maricopa County,319404,1539,203,142,9.23,13.19,1596,111,208,13.03
G0400130319500,Arizona,Maricopa County,319500,1951,382,213,10.92,19.58,2035,222,162,7.96
G0400130319600,Arizona,Maricopa County,319600,1231,179,156,12.67,14.54,1235,210,135,10.93
G0400130319703,Arizona,Maricopa County,319703,1446,38,477,32.99,2.63,1543,51,590,38.24
G0400130319704,Arizona,Maricopa County,319704,2122,195,136,6.41,9.19,2140,315,318,14.86
G0400130319705,Arizona,Maricopa County,319705,3344,426,381,11.39,12.74,3436,480,299,8.7
G0400130319706,Arizona,Maricopa County,319706,1716,162,211,12.3,9.44,1794,224,302,16.83
G0400130319800,Arizona,Maricopa County,319800,976,97,165,16.91,9.94,1098,79,226,20.58
G0400130319902,Arizona,Maricopa County,319902,1971,590,93,4.72,29.93,2041,713,50,2.45
G0400130319903,Arizona,Maricopa County,319903,1993,256,105,5.27,12.84,1984,208,280,14.11
G0400130319904,Arizona,Maricopa County,319904,1189,320,69,5.8,26.91,1267,309,63,4.97
G0400130319905,Arizona,Maricopa County,319905,2280,453,154,6.75,19.87,1881,453,134,7.12
G0400130319906,Arizona,Maricopa County,319906,2321,318,286,12.32,13.7,2292,368,277,12.09
G0400130319907,Arizona,Maricopa County,319907,929,155,34,3.66,16.68,902,201,82,9.09
G0400130319908,Arizona,Maricopa County,319908,1567,646,116,7.4,41.23,1547,581,69,4.46
G0400130319909,Arizona,Maricopa County,319909,1733,243,106,6.12,14.02,1633,395,120,7.35
G0400130319910,Arizona,Maricopa County,319910,2257,1300,78,3.46,57.6,2357,1497,94,3.99
G0400130320001,Arizona,Maricopa County,320001,1973,41,336,17.03,2.08,1758,73,302,17.18
G0400130320002,Arizona,Maricopa County,320002,1246,69,350,28.09,5.54,1570,55,611,38.92
G0400130320007,Arizona,Maricopa County,320007,1324,872,58,4.38,65.86,1468,960,106,7.22
G0400130320100,Arizona,Maricopa County,320100,1271,121,163,12.82,9.52,1253,118,128,10.22
G0400130420104,Arizona,Maricopa County,420104,1864,738,98,5.26,39.59,3254,1581,174,5.35
G0400130420105,Arizona,Maricopa County,420105,1845,561,74,4.01,30.41,2056,736,47,2.29
G0400130420107,Arizona,Maricopa County,420107,1820,208,310,17.03,11.43,1845,114,302,16.37
G0400130420108,Arizona,Maricopa County,420108,1753,57,499,28.47,3.25,1684,51,381,22.62
G0400130420109,Arizona,Maricopa County,420109,1243,75,329,26.47,6.03,1446,104,305,21.09
G0400130420110,Arizona,Maricopa County,420110,1436,195,127,8.84,13.58,1550,354,123,7.94
G0400130420111,Arizona,Maricopa County,420111,2279,115,672,29.49,5.05,2294,323,385,16.78
G0400130420112,Arizona,Maricopa County,420112,1028,9,261,25.39,0.88,1264,95,249,19.7
G0400130420113,Arizona,Maricopa County,420113,578,35,215,37.2,6.06,842,29,351,41.69
G0400130420114,Arizona,Maricopa County,420114,762,51,210,27.56,6.69,764,28,229,29.97
G0400130420115,Arizona,Maricopa County,420115,1703,314,199,11.69,18.44,1704,242,107,6.28
G0400130420116,Arizona,Maricopa County,420116,640,120,37,5.78,18.75,796,170,21,2.64
G0400130420202,Arizona,Maricopa County,420202,1813,646,41,2.26,35.63,2196,832,116,5.28
